transaction_id,items
1,"electronics,home_kitchen,books"
2,"electronics,home_kitchen,books"
3,"electronics,home_kitchen,books"
4,"electronics,home_kitchen,books"
5,"electronics,home_kitchen,books"
6,"electronics,home_kitchen,books"
7,"electronics,home_kitchen,books"
8,"electronics,home_kitchen,books"
9,"electronics,home_kitchen,books"
10,"electronics,home_kitchen,books"
11,"electronics,home_kitchen,books"
12,"electronics,home_kitchen,books"
13,"electronics,home_kitchen,books"
14,"electronics,home_kitchen,books"
15,"electronics,home_kitchen,books"
16,"electronics,home_kitchen,books"
17,"electronics,home_kitchen,books"
18,"echo_dot,electronics,kindle"
19,"echo_dot,electronics,kindle"
20,"echo_dot,electronics,kindle"
21,"echo_dot,electronics,kindle"
22,"echo_dot,electronics,kindle"
23,"echo_dot,electronics,kindle"
24,"echo_dot,electronics,kindle"
25,"echo_dot,electronics,kindle"
26,"echo_dot,electronics,kindle"
27,"echo_dot,electronics,kindle"
28,"echo_dot,electronics,kindle"
29,"echo_dot,electronics,kindle"
30,"echo_dot,electronics,kindle"
31,"echo_dot,electronics,kindle"
32,"echo_dot,electronics,kindle"
33,"echo_dot,electronics,kindle"
34,"echo_dot,electronics,kindle"
35,"toys,electronics,home_kitchen"
36,"toys,electronics,home_kitchen"
37,"toys,electronics,home_kitchen"
38,"toys,electronics,home_kitchen"
39,"toys,electronics,home_kitchen"
40,"toys,electronics,home_kitchen"
41,"toys,electronics,home_kitchen"
42,"toys,electronics,home_kitchen"
43,"toys,electronics,home_kitchen"
44,"toys,electronics,home_kitchen"
45,"toys,electronics,home_kitchen"
46,"toys,electronics,home_kitchen"
47,"toys,electronics,home_kitchen"
48,"toys,electronics,home_kitchen"
49,"toys,electronics,home_kitchen"
50,"toys,electronics,home_kitchen"
