transaction_id,items
1,"laptops,headphones,tablets"
2,"laptops,headphones,tablets"
3,"laptops,headphones,tablets"
4,"laptops,headphones,tablets"
5,"laptops,headphones,tablets"
6,"laptops,headphones,tablets"
7,"laptops,headphones,tablets"
8,"laptops,headphones,tablets"
9,"laptops,headphones,tablets"
10,"laptops,headphones,tablets"
11,"laptops,headphones,tablets"
12,"laptops,headphones,tablets"
13,"laptops,headphones,tablets"
14,"laptops,headphones,tablets"
15,"laptops,headphones,tablets"
16,"laptops,headphones,tablets"
17,"laptops,headphones,tablets"
18,"tvs,gaming_consoles,smartphones"
19,"tvs,gaming_consoles,smartphones"
20,"tvs,gaming_consoles,smartphones"
21,"tvs,gaming_consoles,smartphones"
22,"tvs,gaming_consoles,smartphones"
23,"tvs,gaming_consoles,smartphones"
24,"tvs,gaming_consoles,smartphones"
25,"tvs,gaming_consoles,smartphones"
26,"tvs,gaming_consoles,smartphones"
27,"tvs,gaming_consoles,smartphones"
28,"tvs,gaming_consoles,smartphones"
29,"tvs,gaming_consoles,smartphones"
30,"tvs,gaming_consoles,smartphones"
31,"tvs,gaming_consoles,smartphones"
32,"tvs,gaming_consoles,smartphones"
33,"tvs,gaming_consoles,smartphones"
34,"tvs,gaming_consoles,smartphones"
35,"laptops,smartphones,headphones"
36,"laptops,smartphones,headphones"
37,"laptops,smartphones,headphones"
38,"laptops,smartphones,headphones"
39,"laptops,smartphones,headphones"
40,"laptops,smartphones,headphones"
41,"laptops,smartphones,headphones"
42,"laptops,smartphones,headphones"
43,"laptops,smartphones,headphones"
44,"laptops,smartphones,headphones"
45,"laptops,smartphones,headphones"
46,"laptops,smartphones,headphones"
47,"laptops,smartphones,headphones"
48,"laptops,smartphones,headphones"
49,"laptops,smartphones,headphones"
50,"laptops,smartphones,headphones"
