transaction_id,items
1,"running_shoes,t_shirts,socks"
2,"running_shoes,t_shirts,socks"
3,"running_shoes,t_shirts,socks"
4,"running_shoes,t_shirts,socks"
5,"running_shoes,t_shirts,socks"
6,"running_shoes,t_shirts,socks"
7,"running_shoes,t_shirts,socks"
8,"running_shoes,t_shirts,socks"
9,"running_shoes,t_shirts,socks"
10,"running_shoes,t_shirts,socks"
11,"running_shoes,t_shirts,socks"
12,"running_shoes,t_shirts,socks"
13,"running_shoes,t_shirts,socks"
14,"running_shoes,t_shirts,socks"
15,"running_shoes,t_shirts,socks"
16,"running_shoes,t_shirts,socks"
17,"running_shoes,t_shirts,socks"
18,"shorts,sports_bras,jackets"
19,"shorts,sports_bras,jackets"
20,"shorts,sports_bras,jackets"
21,"shorts,sports_bras,jackets"
22,"shorts,sports_bras,jackets"
23,"shorts,sports_bras,jackets"
24,"shorts,sports_bras,jackets"
25,"shorts,sports_bras,jackets"
26,"shorts,sports_bras,jackets"
27,"shorts,sports_bras,jackets"
28,"shorts,sports_bras,jackets"
29,"shorts,sports_bras,jackets"
30,"shorts,sports_bras,jackets"
31,"shorts,sports_bras,jackets"
32,"shorts,sports_bras,jackets"
33,"shorts,sports_bras,jackets"
34,"shorts,sports_bras,jackets"
35,"running_shoes,shorts,t_shirts"
36,"running_shoes,shorts,t_shirts"
37,"running_shoes,shorts,t_shirts"
38,"running_shoes,shorts,t_shirts"
39,"running_shoes,shorts,t_shirts"
40,"running_shoes,shorts,t_shirts"
41,"running_shoes,shorts,t_shirts"
42,"running_shoes,shorts,t_shirts"
43,"running_shoes,shorts,t_shirts"
44,"running_shoes,shorts,t_shirts"
45,"running_shoes,shorts,t_shirts"
46,"running_shoes,shorts,t_shirts"
47,"running_shoes,shorts,t_shirts"
48,"running_shoes,shorts,t_shirts"
49,"running_shoes,shorts,t_shirts"
50,"running_shoes,shorts,t_shirts"
