transaction_id,items
1,"home_decor,clothing,toys"
2,"home_decor,clothing,toys"
3,"home_decor,clothing,toys"
4,"home_decor,clothing,toys"
5,"home_decor,clothing,toys"
6,"home_decor,clothing,toys"
7,"home_decor,clothing,toys"
8,"home_decor,clothing,toys"
9,"home_decor,clothing,toys"
10,"home_decor,clothing,toys"
11,"home_decor,clothing,toys"
12,"home_decor,clothing,toys"
13,"home_decor,clothing,toys"
14,"home_decor,clothing,toys"
15,"home_decor,clothing,toys"
16,"home_decor,clothing,toys"
17,"home_decor,clothing,toys"
18,"groceries,pet_supplies,baby"
19,"groceries,pet_supplies,baby"
20,"groceries,pet_supplies,baby"
21,"groceries,pet_supplies,baby"
22,"groceries,pet_supplies,baby"
23,"groceries,pet_supplies,baby"
24,"groceries,pet_supplies,baby"
25,"groceries,pet_supplies,baby"
26,"groceries,pet_supplies,baby"
27,"groceries,pet_supplies,baby"
28,"groceries,pet_supplies,baby"
29,"groceries,pet_supplies,baby"
30,"groceries,pet_supplies,baby"
31,"groceries,pet_supplies,baby"
32,"groceries,pet_supplies,baby"
33,"groceries,pet_supplies,baby"
34,"groceries,pet_supplies,baby"
35,"home_decor,groceries,clothing"
36,"home_decor,groceries,clothing"
37,"home_decor,groceries,clothing"
38,"home_decor,groceries,clothing"
39,"home_decor,groceries,clothing"
40,"home_decor,groceries,clothing"
41,"home_decor,groceries,clothing"
42,"home_decor,groceries,clothing"
43,"home_decor,groceries,clothing"
44,"home_decor,groceries,clothing"
45,"home_decor,groceries,clothing"
46,"home_decor,groceries,clothing"
47,"home_decor,groceries,clothing"
48,"home_decor,groceries,clothing"
49,"home_decor,groceries,clothing"
50,"home_decor,groceries,clothing"
